Skill,Course,Platform,Level
MongoDB,MongoDB Complete Developer Course,Udemy,Intermediate

Flutter,Flutter and Dart Complete Guide,Udemy,Intermediate
Dart,Dart Programming Masterclass,Udemy,Beginner
Firebase,Firebase for Mobile Apps,Udemy,Intermediate

Android,Android App Development,Coursera,Intermediate
iOS,iOS Development Bootcamp,Udemy,Intermediate

Cybersecurity,Google Cybersecurity Certificate,Coursera,Beginner
Networking,Computer Networking Fundamentals,Coursera,Beginner
SIEM,SIEM Fundamentals,Udemy,Intermediate
Ethical Hacking,Ethical Hacking Bootcamp,Udemy,Intermediate
Incident Response,Incident Response and Threat Hunting,Udemy,Advanced
Vulnerability Assessment,Vulnerability Management,Coursera,Intermediate

MySQL,MySQL Database Administration,Udemy,Intermediate
PostgreSQL,PostgreSQL for Everybody,Coursera,Intermediate
Database Security,Database Security Fundamentals,Udemy,Intermediate

A/B Testing,A/B Testing for Product Analytics,Udemy,Intermediate
Product Metrics,Product Analytics Fundamentals,Coursera,Intermediate

Solidity,Solidity Smart Contract Development,Udemy,Advanced
Ethereum,Ethereum Blockchain Developer Bootcamp,Udemy,Advanced
Smart Contracts,Smart Contracts Development,Udemy,Advanced
Web3,Web3 Development Fundamentals,Udemy,Advanced
Cryptography,Cryptography Essentials,Coursera,Intermediate

Figma,Figma UI UX Design Essentials,Udemy,Beginner
Wireframing,UX Wireframing Fundamentals,Coursera,Beginner
Prototyping,UI UX Prototyping with Figma,Udemy,Intermediate
User Research,User Research Methods,Coursera,Intermediate
Design Systems,Design Systems Masterclass,Udemy,Advanced
